home,home_lat,home_lon,other,o_lat,o_lon,reach,flights
EDDB,52.361738,13.502341,LPFR,37.015909,-7.970939,Europe,2
EDDB,52.361738,13.502341,LPPR,41.2481002808,-8.68138980865,Europe,2
EDDB,52.361738,13.502341,LPPT,38.7813,-9.13592,Europe,8
EDDB,52.361738,13.502341,LQTZ,44.459858,18.723627,Europe,2
EDDB,52.361738,13.502341,LROP,44.571792,26.103285,Europe,4
EDDB,52.361738,13.502341,LSGG,46.238098,6.10895,Europe,2
EDDB,52.361738,13.502341,LSGK,46.486525,7.248359,Europe,1
EDDB,52.361738,13.502341,LSTZ,46.551713,7.381012,Europe,1
EDDB,52.361738,13.502341,LSZB,46.912736,7.498819,Europe,1
EDDB,52.361738,13.502341,LSZH,47.458056,8.548056,Europe,19
EDDB,52.361738,13.502341,LSZM,47.078353,9.064662,Europe,1
EDDB,52.361738,13.502341,LTAI,36.898701,30.800501,Intercontinental,14
EDDB,52.361738,13.502341,LTBA,40.971913,28.823714,Europe,4
EDDB,52.361738,13.502341,LTBK,38.319099,27.159401,Intercontinental,2
EDDB,52.361738,13.502341,LTBX,40.993,29.216499,Intercontinental,1
EDDB,52.361738,13.502341,LTCG,40.995098,39.7897,Intercontinental,1
EDDB,52.361738,13.502341,LTFJ,40.898602,29.3092,Intercontinental,3
EDDB,52.361738,13.502341,LTXE,37.097222,30.648264,Intercontinental,5
EDDB,52.361738,13.502341,LYBE,44.818401,20.309099,Europe,4
EDDB,52.361738,13.502341,LZIB,48.1702,17.2127,Europe,2
EDDB,52.361738,13.502341,OJAI,31.7226009369,35.9931983948,Intercontinental,2
EDDB,52.361738,13.502341,OLBA,33.819833,35.487443,Intercontinental,1
EDDB,52.361738,13.502341,OTBD,25.259431,51.565528,Intercontinental,1
EDDB,52.361738,13.502341,OTHH,25.273056,51.608056,Intercontinental,2
EDDB,52.361738,13.502341,UGKO,42.177448,42.485353,Intercontinental,1
EDDB,52.361738,13.502341,UGTB,41.669201,44.9547,Intercontinental,2
EDDF,50.026706,8.55835,BIKF,63.985001,-22.6056,Europe,6
EDDF,50.026706,8.55835,CYHZ,44.8807983398,-63.5085983276,Intercontinental,2
EDDF,50.026706,8.55835,CYUL,45.467837,-73.742294,Intercontinental,6
EDDF,50.026706,8.55835,CYVR,49.193901,-123.183998,Intercontinental,6
EDDF,50.026706,8.55835,CYYC,51.118822,-114.009933,Intercontinental,2
EDDF,50.026706,8.55835,CYYZ,43.675935,-79.629421,Intercontinental,9
EDDF,50.026706,8.55835,DAAG,36.693886,3.214531,Intercontinental,1
EDDF,50.026706,8.55835,EBBR,50.901402,4.48444,Europe,9
EDDF,50.026706,8.55835,EBLG,50.638574,5.443897,Europe,2
EDDF,50.026706,8.55835,EBMB,50.913419,4.491005,Europe,5
EDDF,50.026706,8.55835,EDDB,52.361738,13.502341,Domestic,25
EDDF,50.026706,8.55835,EDDC,51.134123,13.767831,Domestic,6
EDDF,50.026706,8.55835,EDDF,50.026706,8.55835,Domestic,10
EDDF,50.026706,8.55835,EDDH,53.630402,9.98823,Domestic,24
EDDF,50.026706,8.55835,EDDL,51.289501,6.76678,Domestic,11
EDDF,50.026706,8.55835,EDDM,48.353802,11.7861,Domestic,33
EDDF,50.026706,8.55835,EDDN,49.498699,11.078056,Domestic,6
EDDF,50.026706,8.55835,EDDP,51.420657,12.232705,Domestic,10
EDDF,50.026706,8.55835,EDDS,48.689899,9.22196,Domestic,2
EDDF,50.026706,8.55835,EDDV,52.461102,9.68508,Domestic,8
EDDF,50.026706,8.55835,EDDW,53.046786,8.78932,Domestic,1
EDDF,50.026706,8.55835,EDFB,50.337973,8.878984,Domestic,1
EDDF,50.026706,8.55835,EDFL,50.544794,8.592753,Domestic,2
EDDF,50.026706,8.55835,EDPK,48.047779,12.500556,Domestic,1
EDDF,50.026706,8.55835,EDTM,48.05389,9.372778,Domestic,1
EDDF,50.026706,8.55835,EDXW,54.9132,8.34047,Domestic,2
EDDF,50.026706,8.55835,EETN,59.413246,24.83264,Europe,6
