queried_airport,direction,icao24,callsign,dep_airport,arr_airport,firstSeen,lastSeen,home,other,ts,hour,al_icao,airline,lh_group,o_country,o_continent,reach,o_lat,o_lon,home_lat,home_lon,dist_km
EDDF,departure,76cd71,SIA325,EDDF,WSAC,1787171594.0,1787213109,EDDF,WSAC,1787171594.0,22,SIA,Singapore Airlines,False,SG,AS,Intercontinental,1.3441400528,104.009002686,50.026706,8.55835,10281.773031162991
EDDF,departure,3c6445,DLH4KW,EDDF,EKBI,1787171551.0,1787175256,EDDF,EKBI,1787171551.0,22,DLH,Lufthansa,True,DK,EU,Europe,55.740335,9.157019,50.026706,8.55835,636.5886595105571
EDDF,departure,3c6757,DLH048,EDDF,EDDV,1787171470.0,1787173752,EDDF,EDDV,1787171470.0,22,DLH,Lufthansa,True,DE,EU,Domestic,52.461102,9.68508,50.026706,8.55835,281.8162021932354
EDDF,departure,3c4b2f,DLH572,EDDF,FAGM,1787171415.0,1787206376,EDDF,FAGM,1787171415.0,22,DLH,Lufthansa,True,ZA,AF,Intercontinental,-26.2425,28.151199,50.026706,8.55835,8698.69119392607
EDDF,departure,06a2f4,QTR072,EDDF,OTHH,1787171313.0,1787193083,EDDF,OTHH,1787171313.0,22,QTR,Qatar Airways,False,QA,AS,Intercontinental,25.273056,51.608056,50.026706,8.55835,4588.088807286664
EDDF,departure,e48baa,TAM8071,EDDF,SBGR,1787171231.0,1787213408,EDDF,SBGR,1787171231.0,22,TAM,TAM Brazilian Airlines,False,BR,SA,Intercontinental,-23.431274,-46.469954,50.026706,8.55835,9796.47989691071
EDDF,departure,3c6705,DLH732,EDDF,,1787171141.0,1787205204,EDDF,,1787171141.0,22,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c66eb,DLH5EL,EDDF,EGPH,1787170968.0,1787176600,EDDF,EGPH,1787170968.0,22,DLH,Lufthansa,True,GB,EU,Europe,55.950145,-3.372288,50.026706,8.55835,1032.73961083289
EDDF,departure,3c6449,DLH8YJ,EDDF,EDDN,1787170943.0,1787172241,EDDF,EDDN,1787170943.0,22,DLH,Lufthansa,True,DE,EU,Domestic,49.498699,11.078056,50.026706,8.55835,190.2564158127778
EDDF,departure,3c4b2e,DLH510,EDDF,SAEZ,1787170850.0,1787216900,EDDF,SAEZ,1787170850.0,22,DLH,Lufthansa,True,AR,SA,Intercontinental,-34.8222,-58.5358,50.026706,8.55835,11501.416008258642
EDDF,departure,3c70c5,GEC8384,EDDF,RJAA,1787170761.0,1787213999,EDDF,RJAA,1787170761.0,22,GEC,Lufthansa Cargo,True,JP,AS,Intercontinental,35.76858,140.388714,50.026706,8.55835,9367.47805681632
EDDF,departure,3c674a,DLH3NM,EDDF,LHBP,1787170680.0,1787175173,EDDF,LHBP,1787170680.0,22,DLH,Lufthansa,True,HU,EU,Europe,47.43018,19.262393,50.026706,8.55835,835.6031637955549
EDDF,departure,3c6744,DLH2HY,EDDF,EDDC,1787170607.0,1787173551,EDDF,EDDC,1787170607.0,22,DLH,Lufthansa,True,DE,EU,Domestic,51.134123,13.767831,50.026706,8.55835,387.7951333669981
EDDF,departure,3c675a,DLH6VP,EDDF,ESSA,1787170553.0,1787176463,EDDF,ESSA,1787170553.0,22,DLH,Lufthansa,True,SE,EU,Europe,59.64849,17.928829,50.026706,8.55835,1224.0229013959924
EDDF,departure,3c6545,DLH1RH,EDDF,LIPZ,1787170542.0,1787174026,EDDF,LIPZ,1787170542.0,22,DLH,Lufthansa,True,IT,EU,Europe,45.505299,12.3519,50.026706,8.55835,577.0149776234636
EDDF,departure,3c6448,DLH51A,EDDF,LOWS,1787170471.0,1787173396,EDDF,LOWS,1787170471.0,22,DLH,Lufthansa,True,AT,EU,Europe,47.793301,13.0043,50.026706,8.55835,408.8410070324141
EDDF,departure,3c6749,DLH19E,EDDF,LFLL,1787170459.0,1787173725,EDDF,LFLL,1787170459.0,22,DLH,Lufthansa,True,FR,EU,Europe,45.725996,5.090139,50.026706,8.55835,543.5457595389236
EDDF,departure,3c654e,LHX948,EDDF,EGCC,1787170429.0,1787175387,EDDF,EGCC,1787170429.0,22,LHX,Other / unmatched,False,GB,EU,Europe,53.349375,-2.279521,50.026706,8.55835,832.3063454508671
EDDF,departure,3c66ae,DLH55U,EDDF,LFMN,1787170394.0,1787175317,EDDF,LFMN,1787170394.0,22,DLH,Lufthansa,True,FR,EU,Europe,43.658401,7.21587,50.026706,8.55835,715.413528812061
EDDF,departure,3009b7,DLA6CM,EDDF,LIMC,1787170383.0,1787174062,EDDF,LIMC,1787170383.0,22,DLA,Air Dolomiti,True,IT,EU,Europe,45.6306,8.72811,50.026706,8.55835,488.98855027228177
EDDF,departure,4bcd81,SXS57V,EDDF,,1787170313.0,1787176605,EDDF,,1787170313.0,22,SXS,SunExpress,False,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c65e2,DLH4UA,EDDF,BIKF,1787170290.0,1787181624,EDDF,BIKF,1787170290.0,22,DLH,Lufthansa,True,IS,EU,Europe,63.985001,-22.6056,50.026706,8.55835,2401.2520633495587
EDDF,departure,3c4a23,DLH796,EDDF,VHHH,1787170203.0,1787207931,EDDF,VHHH,1787170203.0,22,DLH,Lufthansa,True,HK,AS,Intercontinental,22.31184,113.914862,50.026706,8.55835,9154.167411204344
EDDF,departure,8964ff,ETD18M,EDDF,OMAA,1787170114.0,1787190327,EDDF,OMAA,1787170114.0,22,ETD,Etihad Airways,False,AE,AS,Intercontinental,24.440966,54.649237,50.026706,8.55835,4861.775914016736
EDDF,departure,3c6748,DLH206,EDDF,EDDB,1787170056.0,1787173142,EDDF,EDDB,1787170056.0,22,DLH,Lufthansa,True,DE,EU,Domestic,52.361738,13.502341,50.026706,8.55835,431.2414419348526
EDDF,departure,3c64a6,DLH1318,EDDF,DAAG,1787170026.0,1787177848,EDDF,DAAG,1787170026.0,22,DLH,Lufthansa,True,DZ,AF,Intercontinental,36.693886,3.214531,50.026706,8.55835,1543.1784419566834
EDDF,departure,3009b6,DLA37P,EDDF,LOWG,1787169955.0,1787173592,EDDF,LOWG,1787169955.0,22,DLA,Air Dolomiti,True,AT,EU,Europe,46.9911,15.4396,50.026706,8.55835,608.6388191939618
EDDF,departure,3003af,DLA5PW,EDDF,LIPX,1787169880.0,1787173378,EDDF,LIPX,1787169880.0,22,DLA,Air Dolomiti,True,IT,EU,Europe,45.394955,10.887303,50.026706,8.55835,543.6341504375941
EDDF,departure,3c64a4,DLH1456,EDDF,,1787169823.0,1787174819,EDDF,,1787169823.0,22,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
